Brinell   190,00  HBW
Brinell   194,20  HBW
Brinell   192,70  HBW
Brinell   191,30  HBW
Brinell   191,50  HBW
Brinell   192,10  HBW
Brinell   193,40  HBW
Brinell   193,20  HBW
Brinell   193,80  HBW
Brinell   194,50  HBW
Brinell   195,10  HBW
Brinell   194,40  HBW
Brinell   192,60  HBW
Brinell   192,80  HBW
Brinell   191,90  HBW
Rp0,2  341,00  N/mm^2  EN ISO 6892-1 Metod B
Rp0,2  347,00  N/mm^2  EN ISO 6892-1 Metod B
Rp0,2  339,00  N/mm^2  EN ISO 6892-1 Metod B
Rp0,2  351,00  N/mm^2  EN ISO 6892-1 Metod B
Rp0,2  335,00  N/mm^2  EN ISO 6892-1 Metod B
Rp0,2  502,00  N/mm^2  EN ISO 6892-1 Metod B
Rp0,2  510,00  N/mm^2  EN ISO 6892-1 Metod B
Rp0,2  497,00  N/mm^2  EN ISO 6892-1 Metod B
Rp0,2  505,00  N/mm^2  EN ISO 6892-1 Metod B
Rp0,2  514,00  N/mm^2  EN ISO 6892-1 Metod B
(Rm)   519,00  N/mm^2  EN ISO 6892-1 Metod B
(Rm)   535,00  N/mm^2  EN ISO 6892-1 Metod B
(Rm)   523,00  N/mm^2  EN ISO 6892-1 Metod B
(Rm)   540,00  N/mm^2  EN ISO 6892-1 Metod B
(Rm)   531,00  N/mm^2  EN ISO 6892-1 Metod B
(Rm)   765,00  N/mm^2  EN ISO 6892-1 Metod B
(Rm)   759,00  N/mm^2  EN ISO 6892-1 Metod B
(Rm)   755,00  N/mm^2  EN ISO 6892-1 Metod B
(Rm)   760,00  N/mm^2  EN ISO 6892-1 Metod B
(Rm)   770,00  N/mm^2  EN ISO 6892-1 Metod B
A5  12,50  %  EN ISO 6892-1 Metod B
A5  11,00  %  EN ISO 6892-1 Metod B
A5  9,000  %  EN ISO 6892-1 Metod B
A5  11,50  %  EN ISO 6892-1 Metod B
A5  10,00  %  EN ISO 6892-1 Metod B
A5  41,00  %  EN ISO 6892-1 Metod B
A5  38,50  %  EN ISO 6892-1 Metod B
A5  40,00  %  EN ISO 6892-1 Metod B
A5  41,00  %  EN ISO 6892-1 Metod B
A5  42,00  %  EN ISO 6892-1 Metod B
*Kopma Mukavemeti   12,00  N/mm^2  TS ISO 37
*Kopma Mukavemeti   11,00  N/mm^2  TS ISO 37
*Kopma Mukavemeti   14,00  N/mm^2  TS ISO 37
*Kopma Mukavemeti   13,00  N/mm^2  TS ISO 37
*Kopma Mukavemeti   15,00  N/mm^2  TS ISO 37
*Uzama  341,00  %  TS ISO 37
*Uzama  338,00  %  TS ISO 37
*Uzama  330,00  %  TS ISO 37
*Uzama  334,00  %  TS ISO 37
*Uzama  328,00  %  TS ISO 37
Ti  0,014  %  ASTM E1999
*Mg  0,043  %  ASTM E1999
C  3,643  %  ASTM E1999
Si  2,674  %  ASTM E1999
Mn  0,352  %  ASTM E1999
P  0,049  %  ASTM E1999
S  0,0072  %  ASTM E1999
Cr  0,054  %  ASTM E1999
Ni  0,025  %  ASTM E1999
Cu  0,065  %  ASTM E1999
